[I 230118 17:45:46 policy_utils:47] {
      "env": "KuaiRand-v0",
      "user_model_name": "DeepFM",
      "model_name": "A2C_with_emb",
      "seed": 4,
      "cuda": 7,
      "is_userinfo": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "exploration_noise": false,
      "eps": 0.1,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "version": "v1",
      "tau": 0,
      "gamma_exposure": 10,
      "lambda_variance": 0.0,
      "lambda_entropy": 0.0,
      "use_exposure_intervention": false,
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 200,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "repeat_per_collect": 1,
      "logdir": "log",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "read_message": "pointneg",
      "message": "MBPO_s4",
      "is_binarize": true,
      "need_transform": false,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 1,
      "yfeat": "is_click",
      "leave_threshold": 0.0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "hostname": "LDS-12"
    }
[I 230118 18:02:13 utils:138] Epoch: [22], Info: [{'num_test': 100, 'CV': '0.00382', 'CV_turn': '0.01033', 'ctr': '0.50017', 'len_tra': 28.06, 'R_tra': 14.034785100938752, 'ifeat_feat': 0.5563079116179616, 'NX_0_CV': '0.00620', 'NX_0_CV_turn': '0.01730', 'NX_0_ctr': '0.42205', 'NX_0_len_tra': 27.17, 'NX_0_R_tra': 11.467005697842687, 'NX_0_ifeat_feat': 0.29554655870445345, 'NX_10_CV': '0.00488', 'NX_10_CV_turn': '0.03700', 'NX_10_ctr': '0.49020', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.901971423104405, 'NX_10_ifeat_feat': 0.37}]
[I 230118 18:02:41 utils:138] Epoch: [23], Info: [{'num_test': 100, 'CV': '0.00409', 'CV_turn': '0.01076', 'ctr': '0.50780', 'len_tra': 28.81, 'R_tra': 14.629669355005026, 'ifeat_feat': 0.5591808399861159, 'NX_0_CV': '0.00699', 'NX_0_CV_turn': '0.01988', 'NX_0_ctr': '0.42888', 'NX_0_len_tra': 26.66, 'NX_0_R_tra': 11.434048012692948, 'NX_0_ifeat_feat': 0.3075768942235559, 'NX_10_CV': '0.00501', 'NX_10_CV_turn': '0.03800', 'NX_10_ctr': '0.49587', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.958699247948825, 'NX_10_ifeat_feat': 0.385}]
[I 230118 18:03:07 utils:138] Epoch: [24], Info: [{'num_test': 100, 'CV': '0.00343', 'CV_turn': '0.00891', 'ctr': '0.52662', 'len_tra': 29.19, 'R_tra': 15.372121183164417, 'ifeat_feat': 0.5669749914354231, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01848', 'NX_0_ctr': '0.43715', 'NX_0_len_tra': 26.51, 'NX_0_R_tra': 11.588750581368805, 'NX_0_ifeat_feat': 0.3010184835910977, 'NX_10_CV': '0.00475', 'NX_10_CV_turn': '0.03600', 'NX_10_ctr': '0.51387', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.138656088514254, 'NX_10_ifeat_feat': 0.413}]
[I 230118 18:03:34 utils:138] Epoch: [25], Info: [{'num_test': 100, 'CV': '0.00290', 'CV_turn': '0.00758', 'ctr': '0.52869', 'len_tra': 29.01, 'R_tra': 15.337361110448837, 'ifeat_feat': 0.5663564288176491, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01835', 'NX_0_ctr': '0.44363', 'NX_0_len_tra': 26.7, 'NX_0_R_tra': 11.84483502611518, 'NX_0_ifeat_feat': 0.29850187265917605, 'NX_10_CV': '0.00448', 'NX_10_CV_turn': '0.03400', 'NX_10_ctr': '0.51623', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.1623391614109275, 'NX_10_ifeat_feat': 0.407}]
[I 230118 18:04:00 utils:138] Epoch: [26], Info: [{'num_test': 100, 'CV': '0.00251', 'CV_turn': '0.00650', 'ctr': '0.52677', 'len_tra': 29.22, 'R_tra': 15.392125817090273, 'ifeat_feat': 0.5660506502395619, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01865', 'NX_0_ctr': '0.42726', 'NX_0_len_tra': 26.28, 'NX_0_R_tra': 11.228499833736569, 'NX_0_ifeat_feat': 0.3028919330289193, 'NX_10_CV': '0.00514', 'NX_10_CV_turn': '0.03900', 'NX_10_ctr': '0.49378', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.937840695432388, 'NX_10_ifeat_feat': 0.402}]
[I 230118 18:04:23 utils:138] Epoch: [27], Info: [{'num_test': 100, 'CV': '0.00251', 'CV_turn': '0.00639', 'ctr': '0.53992', 'len_tra': 29.72, 'R_tra': 16.04645923793316, 'ifeat_feat': 0.5656123822341858, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01846', 'NX_0_ctr': '0.44460', 'NX_0_len_tra': 26.54, 'NX_0_R_tra': 11.799686340820044, 'NX_0_ifeat_feat': 0.29691032403918616, 'NX_10_CV': '0.00501', 'NX_10_CV_turn': '0.03800', 'NX_10_ctr': '0.50794', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.079402625933289, 'NX_10_ifeat_feat': 0.385}]
[I 230118 18:04:49 utils:138] Epoch: [28], Info: [{'num_test': 100, 'CV': '0.00237', 'CV_turn': '0.00611', 'ctr': '0.50188', 'len_tra': 29.46, 'R_tra': 14.785333192050457, 'ifeat_feat': 0.56653088934148, 'NX_0_CV': '0.00633', 'NX_0_CV_turn': '0.01808', 'NX_0_ctr': '0.44029', 'NX_0_len_tra': 26.55, 'NX_0_R_tra': 11.689809732513968, 'NX_0_ifeat_feat': 0.30433145009416196, 'NX_10_CV': '0.00501', 'NX_10_CV_turn': '0.03800', 'NX_10_ctr': '0.48917', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.891733294986189, 'NX_10_ifeat_feat': 0.387}]
[I 230118 18:05:17 utils:138] Epoch: [29], Info: [{'num_test': 100, 'CV': '0.00185', 'CV_turn': '0.00475', 'ctr': '0.53132', 'len_tra': 29.48, 'R_tra': 15.66336140230298, 'ifeat_feat': 0.5664857530529173, 'NX_0_CV': '0.00699', 'NX_0_CV_turn': '0.02062', 'NX_0_ctr': '0.41616', 'NX_0_len_tra': 25.7, 'NX_0_R_tra': 10.695335256876424, 'NX_0_ifeat_feat': 0.3050583657587549, 'NX_10_CV': '0.00514', 'NX_10_CV_turn': '0.03900', 'NX_10_ctr': '0.50547', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.054701325856149, 'NX_10_ifeat_feat': 0.39}]
[I 230118 18:05:44 utils:138] Epoch: [30], Info: [{'num_test': 100, 'CV': '0.00132', 'CV_turn': '0.00336', 'ctr': '0.53249', 'len_tra': 29.73, 'R_tra': 15.83099739022553, 'ifeat_feat': 0.5660948536831484, 'NX_0_CV': '0.00646', 'NX_0_CV_turn': '0.01890', 'NX_0_ctr': '0.43616', 'NX_0_len_tra': 25.92, 'NX_0_R_tra': 11.30529726171866, 'NX_0_ifeat_feat': 0.30324074074074076, 'NX_10_CV': '0.00475', 'NX_10_CV_turn': '0.03600', 'NX_10_ctr': '0.50110', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 5.010975297279656, 'NX_10_ifeat_feat': 0.391}]
[I 230118 18:06:10 utils:138] Epoch: [31], Info: [{'num_test': 100, 'CV': '0.00119', 'CV_turn': '0.00303', 'ctr': '0.51975', 'len_tra': 29.73, 'R_tra': 15.452269276082516, 'ifeat_feat': 0.5660948536831484, 'NX_0_CV': '0.00686', 'NX_0_CV_turn': '0.02007', 'NX_0_ctr': '0.44811', 'NX_0_len_tra': 25.91, 'NX_0_R_tra': 11.610656243506819, 'NX_0_ifeat_feat': 0.3045156310304902, 'NX_10_CV': '0.00462', 'NX_10_CV_turn': '0.03500', 'NX_10_ctr': '0.48852', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 4.885162550080568, 'NX_10_ifeat_feat': 0.4}]
